Section,Field / Criterion,Description,Example / Current Value,Currently Enforced Today?,Proposed Threshold (fill in),Notes
"Funnel enrichment (runs AFTER qualification)","funnel_price / funnel_prices","Every price found on the funnel page (raw text, tier label, source URL)","","No - captured, never used to gate","","THIS IS THE GAP for a "">$5k price"" rule - see gap-check row below"
"Email enrichment (runs AFTER qualification)","email / email_status (+ v2)","Found and verified email address (via AirScale/Clay)","","No - runs after qualification","",""
"Computed score","icp_fit_score","0-10, from icp_signal + keyword/bio boosts","","35% weight","",""
"Computed score","traction_score","0-10, from engagement_rate curve","","25% weight","",""
"Computed score","monetization_score","0-10, from link/offer/confidence/business_model","","25% weight","",""
"Computed score","activity_score","0-10, from reels_last_30_days","","15% weight","",""
"Computed score","overall_score","Weighted sum of the four sub-scores above","7.3 (holler.academy)","Yes - qualifies at >=5.5","","Capped at 3.0 if icp_signal=weak, regardless of the other three sub-scores"
"Current hard rule","Not private","Reject if account is private","","Enforced","",""
"Current hard rule","Follower range","Reject outside range","5,000-500,000","Enforced","",""
"Current hard rule","Bio length",">=5 characters","","Enforced","",""
"Current hard rule","Exclude keywords","Reject if bio/name/username contains: fan, parody, meme, news, paparazzi, gossip, official army","","Enforced","",""
"Current hard rule","Include keywords (>=1 required)","~85-term list incl. coach, mentor, consult, course, mastermind, academy, high ticket, book a call, beginner, free, funnel, webinar, sales call, offer, ecom, smma... (full live list available on request)","","Enforced","","Case-insensitive substring match across bio+name+username+captions+link"
"Current hard rule","Junk-bio regex","Reject meme/fan-page/news/gossip/paparazzi-style bios","","Enforced","",""
"Current hard rule","Engagement rate",">=0.5%","","Enforced","",""
"Current hard rule","Reels in last 30 days",">=1 (only once >=3 reels sampled)","","Enforced","",""
"Current hard rule","overall_score threshold",">=5.5 -> qualified, else rejected","","Enforced","",""
"Current hard rule","Weak-ICP cap","Score capped at 3.0 if icp_signal=weak -> always rejected","","Enforced","",""
"ICP narrative (not coded as a numeric rule)","Monthly revenue","Target: $50k-75k+/month","","Not enforced numerically - AI weighs this qualitatively via icp_signal","",""
"ICP narrative (not coded as a numeric rule)","Offer price","Target: $500+ sold via sales calls","","Not enforced numerically","","No price-based hard gate exists anywhere in the pipeline today"
"ICP narrative (not coded as a numeric rule)","Show rate / booking rate / close rate","Benchmarks: 17%+ cold, 40%+ warm show rate","","Not tracked per-lead at all","","Post-call metrics the scraper has no way to observe"
"Gap check vs. requested criteria","""High ticket, sells above $5,000""","Requested hard qualifier","","GAP - not built","","funnel_prices IS captured but only AFTER a lead already qualifies, and nothing reads it during qualification. To use $5k as a real gate: either (a) detect price earlier - bio/caption regex, or move funnel enrichment before scoring - or (b) accept it as post-hoc filtering only."
"Gap check vs. requested criteria","""Minimum 5,000 followers""","Requested hard qualifier","","Already exists - matches exactly","","Current min_followers = 5,000. There's also an upper cap of 500,000 that wasn't mentioned - confirm that's still wanted."
"Gap check vs. requested criteria","""X posts in last 30 days""","Requested hard qualifier","","Partial - depends what is meant","","If total posts: posts_last_30_days is captured but not gated (need a number for X). If reels specifically: reels_last_30_days is already gated at min 1 - confirm if 1 is the right X."
"Gap check vs. requested criteria","""Link in bio present""","Requested hard qualifier","","Partial - captured, not a hard gate","","external_link presence only adds +2 of 10 to monetization_score today; it doesn't reject a lead on its own. Easy to promote to a hard filter if wanted."
"Gap check vs. requested criteria","""Bio contains: coach / coaching / helping / helping beginners / get my free course""","Requested hard qualifier","","Partial match against the live include_keywords list","","""coach"" already in list. ""beginner"" already in list (not the exact phrase ""helping beginners""). ""free"" already in list (not the exact phrase ""get my free course""). ""helping"" is NOT currently in the list. Matching today is case-insensitive substring, not AI-driven, so exact wording matters."
"ICP narrative (Partnerships track)","Who (shared definition)","Individuals/businesses who work together with coaches and consultants selling courses or coaching programs","","business_model=agency routes to the Partnerships track; sub-type below is not distinguished","",""
"ICP narrative (Partnerships track)","Branding agencies","Partner type","","Not distinguished - all collapse into business_model=agency","",""
"ICP narrative (Partnerships track)","Sales agencies","Partner type","","Not distinguished - all collapse into business_model=agency","",""
"ICP narrative (Partnerships track)","Paid ads agencies","Partner type","","Not distinguished - all collapse into business_model=agency","",""
"ICP narrative (Partnerships track)","YouTube agencies","Partner type","","Not distinguished - all collapse into business_model=agency","",""
"ICP narrative (Partnerships track)","Appointment setting agencies","Partner type","","Not distinguished - all collapse into business_model=agency","",""
"ICP narrative (Partnerships track)","Fractional CMOs","Partner type","","Not distinguished - all collapse into business_model=agency","",""
"ICP narrative (Partnerships track)","Offer consultants","Partner type","","Not distinguished - all collapse into business_model=agency","",""
"ICP narrative (Partnerships track)","Launch strategists","Partner type","","Not distinguished - all collapse into business_model=agency","",""
"ICP narrative (Partnerships track)","Copywriters","Partner type","","Not distinguished - all collapse into business_model=agency","",""
"Gap check vs. requested criteria","""Partnership sub-type (branding/sales/paid ads/YouTube/appointment-setting agency, fractional CMO, offer consultant, launch strategist, copywriter)""","Requested ICP sub-categories for the Partnerships track","","GAP - business_model enum only has a single ""agency"" value","","AI classification currently can't tell a paid-ads agency apart from a YouTube agency, an appointment-setting agency, a fractional CMO, an offer consultant, a launch strategist, or a copywriter - all collapse into business_model=agency today. A sub-type would need to come from the free-text niche field or a new classification field/prompt update."
